id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:
725,724.0,31.91,15,10,
726,725.0,31.91,15,10,
727,726.0,31.91,15,10,
728,727.0,31.91,15,10,
729,728.0,31.91,15,10,
730,729.0,31.80,15,10,
731,730.0,31.80,15,10,
732,731.0,31.80,15,10,
733,732.0,31.80,15,10,
734,733.0,31.80,15,10,
735,734.0,31.80,15,10,
736,735.0,31.80,15,10,
737,736.0,31.80,15,10,
738,737.0,31.80,15,10,
739,738.0,31.80,15,10,
740,739.0,31.80,15,10,
741,740.0,31.80,15,10,
742,741.0,31.80,15,10,
743,742.0,31.80,15,10,
744,743.0,31.80,15,10,
745,744.0,31.80,15,10,
746,745.0,31.80,15,10,
747,746.0,31.80,15,10,
748,747.0,31.80,15,10,
749,748.0,31.80,15,10,
750,749.0,31.80,15,10,
751,750.0,31.80,15,10,
752,751.0,31.80,15,10,
753,752.0,31.91,15,10,
754,753.0,31.91,15,10,
755,754.0,31.91,15,10,
756,755.0,31.91,15,10,
757,756.0,31.91,15,10,
758,757.0,31.91,15,10,
759,758.0,31.91,15,10,
760,759.0,31.91,15,10,
761,760.0,31.91,15,10,
762,761.0,31.91,15,10,
763,762.0,31.91,15,10,
764,763.0,31.91,15,10,
765,764.0,31.91,15,10,
766,765.0,31.91,15,10,
767,766.0,31.91,15,10,
768,767.0,31.91,15,10,
769,768.0,31.91,15,10,
770,769.0,31.91,15,10,
771,770.0,31.91,15,10,
772,771.0,31.91,15,10,
773,772.0,31.91,15,10,
774,773.0,31.91,15,10,
775,774.0,31.91,15,10,
776,775.0,31.91,15,10,
777,776.0,31.91,15,10,
778,777.0,31.80,15,10,
779,778.0,31.80,15,10,
780,779.0,31.80,15,10,
781,780.0,31.91,15,10,
782,781.0,31.91,15,10,
783,782.0,31.91,15,10,
784,783.0,31.91,15,10,
785,784.0,31.91,15,10,
786,785.0,31.91,15,10,
787,786.0,32.03,15,10,
788,787.0,32.03,15,10,
789,788.0,31.91,15,10,
790,789.0,31.91,15,10,
791,790.0,31.91,15,10,
792,791.0,31.91,15,10,
793,792.0,31.91,15,10,
794,793.0,31.91,15,10,
795,794.0,31.91,15,10,
796,795.0,32.03,15,10,
797,796.0,32.03,15,10,
798,797.0,32.03,13,10,
799,798.0,32.03,14,10,
800,799.0,32.03,15,10,
801,800.0,32.03,15,10,
802,801.0,32.03,15,10,
803,802.0,31.91,15,10,
804,803.0,31.91,15,10,
805,804.0,31.91,15,10,
806,805.0,31.91,15,10,
807,806.0,31.91,15,10,
808,807.0,31.91,15,10,
809,808.0,31.91,15,10,
810,809.0,31.91,15,10,
811,810.0,32.03,15,10,
812,811.0,31.91,15,10,
813,812.0,31.91,15,10,
814,813.0,32.03,15,10,
815,814.0,32.03,15,10,
816,815.0,32.03,15,10,
817,816.0,32.03,15,10,
818,817.0,31.91,15,10,
819,818.0,31.91,15,10,
820,819.0,32.03,15,10,
821,820.0,32.03,15,10,
822,821.0,31.91,15,10,
823,822.0,32.03,15,10,
824,823.0,31.91,15,10,
825,824.0,31.91,15,10,
826,825.0,32.03,15,10,
827,826.0,32.03,15,10,
828,827.0,32.03,13,10,
829,828.0,32.03,14,10,
830,829.0,31.91,15,10,
831,830.0,32.03,15,10,
832,831.0,32.03,15,10,
833,832.0,31.91,15,10,
834,833.0,31.91,15,10,
835,834.0,31.91,15,10,
836,835.0,31.91,15,10,
837,836.0,31.91,15,10,
838,837.0,31.91,15,10,
839,838.0,31.91,15,10,
